inspection_id,vessel_id,work_order_id,part_component_id,inspection_type,inspector_role,hull_moisture_pct,compression_psi,oil_analysis_flags,corrosion_grade,wiring_submersion_flag,condition_grade,estimated_defect_cost,safety_critical_flags,created_at
insp_7bc7761ad859,ves_7273c7a853d8,wo_1428899a3329,,survey,surveyor,25.58,{},[],none,False,fair,10311.11,[],2021-10-16T08:00:00
insp_93e2d9d1b731,ves_7273c7a853d8,wo_1d559cd0cd20,,post_failure,insurer,0.0,{},"[""fuel_dilution"", ""metal_elevated""]",moderate,False,fair,223.13,[],2022-05-19T10:00:00
insp_efb5f1ed224a,ves_4aaa1c2323b1,wo_7ae05b7590df,,post_failure,yard,11.18,{},"[""metal_elevated"", ""fuel_dilution""]",light,False,very_good,654.77,[],2014-06-04T16:00:00
insp_c8da45238a24,ves_4aaa1c2323b1,wo_9817a328fba0,,survey,yard,2.11,{},[],none,False,very_good,2630.78,[],2020-04-02T15:00:00
insp_e6f26183692f,ves_4aaa1c2323b1,wo_fe3ac4eb14ba,,survey,tech,23.77,{},"[""normal"", ""metal_elevated""]",light,False,very_good,6116.81,[],2020-02-01T10:00:00
insp_2b4d6bf089f4,ves_6b5563e8c2f4,wo_f1364fa36de9,,survey,yard,3.83,{},"[""normal""]",light,False,fair,638.36,[],2023-12-17T08:00:00
insp_374e0548bdf8,ves_6b5563e8c2f4,wo_5e14320c65e6,,salvage_intake,yard,3.39,{},[],none,False,fair,1849.97,[],2017-04-15T10:00:00
insp_865b36f30d55,ves_6b5563e8c2f4,wo_4ca27bc711fe,,post_failure,tech,8.7,{},[],light,False,fair,1208.49,[],2021-12-03T16:00:00
insp_b6a3bbb608dd,ves_6b5563e8c2f4,wo_e88eb2124be2,,post_failure,surveyor,17.1,{},"[""coolant_trace"", ""metal_elevated""]",none,False,fair,977.22,[],2024-12-03T11:00:00
insp_1f3d2a23b817,ves_6b5563e8c2f4,wo_de0a49510126,,salvage_intake,insurer,3.25,{},"[""metal_elevated"", ""fuel_dilution""]",light,False,fair,421.51,[],2016-08-02T10:00:00
