inventory_usage_id,work_order_id,vessel_id,part_number,quantity,unit,unit_cost,extended_cost,sourced_from,install_ts
inv_834366f48229,wo_1428899a3329,ves_7273c7a853d8,HULL_GELCOAT_KIT,1,each,110.96,110.96,new_supplier,2021-11-02T08:00:00
inv_60f476381cd5,wo_1d559cd0cd20,ves_7273c7a853d8,FUEL_FILTER_SEPARATOR,1,each,89.99,89.99,new_supplier,2022-05-19T10:00:00
inv_b84708a6fe52,wo_07ae1a486c3e,ves_7273c7a853d8,FUEL_LINE_A1_10FT,1,each,123.26,123.26,new_supplier,2015-06-06T12:00:00
inv_ae0b88b0dd32,wo_44989d7621a7,ves_7273c7a853d8,BILGE_FLOAT_SWITCH,1,each,55.38,55.38,new_supplier,2023-02-14T10:00:00
inv_6b809fdbccfb,wo_7ae05b7590df,ves_4aaa1c2323b1,BATTERY_AGM_100AH,1,each,347.01,347.01,new_supplier,2014-06-06T16:00:00
inv_b76322dd667e,wo_f92263725f55,ves_4aaa1c2323b1,INJECTOR_SET_V6,1,each,906.34,906.34,new_supplier,2019-07-17T08:00:00
inv_bc283aafba50,wo_9817a328fba0,ves_4aaa1c2323b1,OB_GEARCASE_SEAL_KIT,1,each,93.65,93.65,new_supplier,2020-04-18T15:00:00
inv_f454586608f7,wo_fe3ac4eb14ba,ves_4aaa1c2323b1,HULL_GELCOAT_KIT,1,each,114.22,114.22,new_supplier,2020-02-05T10:00:00
inv_85041520f243,wo_a9ba789e19bb,ves_4aaa1c2323b1,FUEL_FILTER_SEPARATOR,1,each,83.69,83.69,new_supplier,2025-04-17T10:00:00
inv_aca98b567203,wo_df60ea436a40,ves_4aaa1c2323b1,INJECTOR_SET_V6,1,each,805.77,805.77,new_supplier,2022-10-05T11:00:00
inv_09d8a76a791c,wo_f1364fa36de9,ves_6b5563e8c2f4,ALTERNATOR_70A,1,each,275.49,275.49,new_supplier,2023-12-21T08:00:00
inv_4a347703d22e,wo_5e14320c65e6,ves_6b5563e8c2f4,STEERING_CABLE_16FT,1,each,257.45,257.45,new_supplier,2017-04-24T10:00:00
inv_5d1c9017bb11,wo_69834611ea58,ves_6b5563e8c2f4,INB_CUTLASS_BRG,1,each,126.43,126.43,new_supplier,2023-12-21T14:00:00
inv_88f76370d6f1,wo_4ca27bc711fe,ves_6b5563e8c2f4,FUEL_LINE_A1_10FT,2,each,124.84,249.68,new_supplier,2021-12-03T16:00:00
inv_b48e5da3c64c,wo_e88eb2124be2,ves_6b5563e8c2f4,JET_WEAR_RING,1,each,168.83,168.83,new_supplier,2024-12-04T11:00:00
inv_772049026841,wo_05d9877aeb49,ves_6b5563e8c2f4,SANITATION_HOSE_10FT,1,each,139.89,139.89,new_supplier,2016-01-17T09:00:00
inv_ded5c3aa5dbc,wo_fe8e4896c25b,ves_e85c97dcf495,STEERING_CABLE_16FT,1,each,235.34,235.34,new_supplier,2024-07-18T08:00:00
inv_f23773310b0f,wo_cce9e6a9ad7d,ves_e85c97dcf495,FUEL_LINE_A1_10FT,1,each,113.89,113.89,new_supplier,2024-07-11T12:00:00
inv_4c3b9d99beae,wo_66fab2e05b21,ves_e85c97dcf495,JET_WEAR_RING,1,each,152.69,152.69,new_supplier,2016-02-17T14:00:00
inv_4df8bbf95eb0,wo_a5373c9f9c8e,ves_e85c97dcf495,WIRING_HARNESS_MAIN,1,each,1014.51,1014.51,new_supplier,2026-01-08T12:00:00
inv_3848c116c7c3,wo_0e8c4433033f,ves_bbe230212bed,CRANK_POS_SENSOR,1,each,92.25,92.25,new_supplier,2025-12-01T16:00:00
inv_1d03b0695aa9,wo_1f8eedd89962,ves_bbe230212bed,OB_WATER_PUMP_KIT,1,each,194.36,194.36,new_supplier,2023-08-28T08:00:00
inv_b7a93261c2b1,wo_1f8eedd89962,ves_bbe230212bed,THERMOSTAT_MARINE,1,each,44.5,44.5,new_supplier,2023-08-19T08:00:00
inv_494ce6ceccfd,wo_78b8413639e0,ves_bbe230212bed,JET_WEAR_RING,1,each,162.3,162.3,customer_supplied,2014-07-10T15:00:00
inv_943a085a3a03,wo_a23829d47efd,ves_bbe230212bed,N2K_STARTER_KIT,1,each,139.4,139.4,new_supplier,2018-09-11T11:00:00
inv_bfc9a53d25cb,wo_4b62f84ea9de,ves_bbe230212bed,HULL_GELCOAT_KIT,1,each,126.27,126.27,new_supplier,2019-02-13T08:00:00
inv_6ee5e5fa8cdc,wo_de258528ac79,ves_adebceae0fad,SHAFT_1_25_SS,1,each,1680.4,1680.4,new_supplier,2022-04-09T12:00:00
inv_9370858543c4,wo_c7036a494d86,ves_adebceae0fad,N2K_STARTER_KIT,1,each,138.43,138.43,used_salvage,2020-08-06T16:00:00
inv_36cce48cfe09,wo_2983c3db5341,ves_adebceae0fad,EXHAUST_RISER_V8,2,each,665.82,1331.65,new_supplier,2022-01-06T15:00:00
inv_861c1b98838f,wo_045c972ccafc,ves_adebceae0fad,N2K_STARTER_KIT,1,each,125.04,125.04,customer_supplied,2018-06-29T10:00:00
inv_ede83aa71564,wo_b64b0c829857,ves_adebceae0fad,AC_RAW_WATER_PUMP,1,each,395.88,395.88,new_supplier,2021-06-03T13:00:00
inv_628fbe084f6e,wo_d81617f8ee8e,ves_6647655670db,INB_CUTLASS_BRG,1,each,136.57,136.57,new_supplier,2018-06-07T12:00:00
inv_9be3f2de0e86,wo_85e98443d992,ves_6647655670db,WIRING_HARNESS_MAIN,1,each,938.61,938.61,new_supplier,2018-07-10T09:00:00
