comp_id,comp_source,comp_type,make,model,year_built,loa_ft,propulsion_type,engine_hours,region_market,condition_grade,list_price,sold_price,days_on_market,sale_date,equipment_flags,notes
comp_ddbf6510368c,marketplace,sold,Grady-White,257 Fisherman,2010,25.16,inboard,1001,Gulf Coast,good,22668.21,20877.07,100,2025-03-10,"[""AIS"", ""joystick"", ""trailer""]",
comp_49f98a202101,marketplace,listing,Sea Ray,SPX 190,1999,20.48,sterndrive,2095,Gulf Coast,good,10146.3,,10,2025-07-06,"[""radar""]",
comp_ffc8d91953a6,marketplace,listing,Sun Tracker,Party Barge 22 DLX,2010,23.06,outboard,1509,Gulf Coast,fair,8725.08,,92,2023-03-01,[],
comp_cbf68c9e9612,brokerage,sold,Lund,1650 Angler,2009,33.25,inboard,1948,Inland Lakes,good,31519.45,27938.09,64,2024-11-02,"[""generator""]",
comp_15b8d13cbde1,brokerage,sold,HarborCat,26 WB,2009,12.82,outboard,1058,Gulf Coast,very_good,16056.67,15375.61,66,2023-01-04,"[""autopilot""]",
comp_73f1cd435b30,marketplace,listing,Tiara,38 LS,2015,23.61,sterndrive,1404,Gulf Coast,good,42024.4,,27,2026-03-21,[],
comp_befc148e04a1,brokerage,listing,Chaparral,21 SSI,2006,26.0,sterndrive,1992,Maritimes,fair,16280.3,,26,2025-01-27,"[""solar"", ""joystick"", ""AIS""]",
comp_48d4aa44fd6f,internal_sales,sold,Tiara,38 LS,1983,33.56,sterndrive,7215,Pacific Coast,very_good,44303.71,38488.98,88,2025-01-24,"[""solar"", ""joystick""]",
comp_1bf85124861b,brokerage,listing,Catalina,275 Sport,1976,41.4,inboard,1996,Inland Lakes,good,51192.55,,292,2024-12-26,"[""solar"", ""joystick""]",
comp_50f4169c37f1,brokerage,sold,Sea Ray,Sundancer 320,1998,16.66,sterndrive,988,Maritimes,good,24375.46,22003.05,62,2024-05-17,"[""radar"", ""AIS""]",
comp_7b5c570699a0,marketplace,listing,Sun Tracker,Party Barge 22 DLX,2014,26.0,outboard,333,Inland Lakes,excellent,21413.72,,56,2026-10-20,"[""joystick""]",
comp_6206b44ef961,marketplace,sold,Jeanneau,Leader 10.5,1969,39.84,inboard,1032,Gulf Coast,good,41354.0,36441.93,43,2025-03-14,"[""trailer"", ""AIS""]",
comp_3b162a2fa0c0,marketplace,sold,Grady-White,191 CE,2019,26.0,outboard,1586,Great Lakes,good,38933.17,37109.96,105,2025-03-08,"[""joystick"", ""trailer""]",
comp_ecfd46fc2edb,marketplace,sold,Carver,C34 Coupe,1996,34.37,sterndrive,5085,Maritimes,very_good,64523.67,56046.68,26,2025-10-07,"[""generator"", ""AIS""]",
comp_c16ab9a1cd2f,brokerage,listing,Grady-White,191 CE,1996,12.08,inboard,3425,Atlantic Coast,very_good,5227.67,,63,2026-01-22,"[""generator""]",
comp_d9d1d4287e71,marketplace,sold,Regal,LS4,2025,26.0,sterndrive,259,Pacific Coast,excellent,64665.14,60058.16,154,2024-03-21,"[""solar""]",
comp_3a398b7266bc,marketplace,sold,Chaparral,23 SSi,2015,16.61,outboard,163,Pacific Coast,very_good,16454.84,13826.92,147,2025-08-11,"[""trailer"", ""generator"", ""AIS""]",
comp_f11d68ce49b7,brokerage,sold,Harris,Cruiser 210,2023,25.76,outboard,246,Great Lakes,excellent,42568.5,37195.5,88,2025-10-05,"[""generator"", ""solar"", ""AIS""]",
comp_bf6af57aea8c,marketplace,sold,Sun Tracker,Party Barge 22 DLX,2007,26.0,outboard,432,Maritimes,fair,9307.76,8439.3,27,2024-04-11,"[""generator""]",
comp_492c0776513a,marketplace,sold,Boston Whaler,170 Montauk,1993,16.4,outboard,4998,Maritimes,good,8059.4,7800.1,339,2024-01-25,"[""trailer"", ""autopilot"", ""solar""]",
comp_331db02ac27f,internal_sales,sold,Tiara,44 Coupe,2010,37.27,inboard,1307,Gulf Coast,good,92896.71,90798.67,66,2026-07-09,"[""radar"", ""generator""]",
comp_5ce89864c8f3,brokerage,listing,Sea Ray,Sundancer 320,2008,21.26,sterndrive,2477,Great Lakes,very_good,17198.4,,99,2025-12-13,"[""solar"", ""trailer""]",
comp_33c8d7bafad6,marketplace,listing,Harris,Solstice 230,2021,26.0,outboard,156,Gulf Coast,good,25224.28,,42,2024-01-27,"[""solar"", ""AIS"", ""trailer""]",
comp_dd1a77f29b21,internal_sales,sold,Boston Whaler,230 Outrage,1985,19.34,inboard,8440,Atlantic Coast,poor,3947.06,3527.93,85,2023-06-19,"[""solar"", ""joystick"", ""AIS""]",
comp_63fc30efe028,brokerage,sold,Regal,28 Express,2010,19.28,outboard,610,Maritimes,good,16194.24,14643.03,35,2026-06-27,"[""autopilot"", ""radar"", ""trailer""]",
comp_2df40902d157,marketplace,listing,Sun Tracker,Party Barge 22 DLX,2013,19.76,outboard,358,Maritimes,poor,5262.01,,113,2025-01-16,"[""radar"", ""trailer"", ""generator""]",
comp_ba3f777d164a,brokerage,sold,Tiara,38 LS,2009,23.4,inboard,1471,Maritimes,good,48366.71,41339.56,139,2024-05-22,"[""solar""]",
comp_5bd6b2b7fd26,brokerage,sold,Yamaha WaveRunner,VX Cruiser,1985,10.64,jet,908,Atlantic Coast,excellent,1434.93,1256.22,31,2025-02-18,"[""autopilot""]",
comp_2418f3648d29,marketplace,listing,Hunter,36,2012,25.96,sail_aux,0,Gulf Coast,very_good,47353.6,,59,2026-09-24,"[""generator"", ""radar"", ""trailer""]",
comp_9be623314c47,internal_sales,sold,Regal,28 Express,1998,20.67,sterndrive,1134,Great Lakes,very_good,12268.24,10979.62,30,2026-07-01,"[""AIS"", ""solar""]",
comp_e196191b9544,marketplace,sold,Tiara,44 Coupe,2006,29.65,sterndrive,1227,Atlantic Coast,fair,47488.06,46084.32,9,2023-10-21,"[""joystick"", ""solar""]",
comp_bdc969201f3a,marketplace,sold,Chaparral,23 SSi,2006,20.76,sterndrive,2795,Pacific Coast,good,12701.81,12290.83,81,2026-10-06,[],
comp_b0da73edbf04,brokerage,sold,Tracker,Pro Team 175,2016,17.92,inboard,841,Atlantic Coast,excellent,19348.75,17603.27,29,2023-02-17,"[""solar"", ""joystick"", ""autopilot""]",
comp_61ebb075d187,marketplace,sold,Harris,Cruiser 210,2011,26.0,outboard,588,Maritimes,good,13980.92,12775.31,29,2025-02-10,"[""solar"", ""joystick"", ""generator""]",
comp_0132030f02f3,internal_sales,sold,Tiara,38 LS,2001,44.06,inboard,1020,Atlantic Coast,very_good,98903.85,84125.98,24,2024-05-12,[],
comp_bc7bcb738158,brokerage,sold,Sun Tracker,Bass Buggy 18 DLX,2014,23.29,outboard,588,Atlantic Coast,fair,9873.48,9628.16,61,2025-06-13,[],
comp_b2de49c45c13,brokerage,listing,Sun Tracker,Party Barge 22 DLX,2006,20.84,outboard,158,Atlantic Coast,poor,5082.58,,48,2023-07-18,[],
comp_4e19b29dbb2c,marketplace,sold,Carver,C40 Command Bridge,2004,34.04,inboard,2139,Pacific Coast,very_good,68564.03,66218.59,50,2026-03-11,"[""solar""]",
comp_574b1acc6cac,internal_sales,listing,SafeBoat,25 Defender,2000,37.94,inboard,4153,Atlantic Coast,fair,40820.37,,28,2025-07-15,[],
comp_6e54f5e3bb34,brokerage,sold,SafeBoat,25 Defender,2005,37.94,inboard,3729,Atlantic Coast,fair,47238.66,41088.11,21,2025-02-08,"[""radar"", ""generator""]",
comp_ad3836b2fa88,marketplace,listing,Sea Ray,SPX 190,2025,35.57,sterndrive,0,Inland Lakes,good,182654.98,,109,2025-09-27,"[""joystick""]",
comp_7cebe037ed96,internal_sales,sold,SafeBoat,25 Defender,2000,38.78,outboard,4494,Inland Lakes,poor,34600.36,31974.86,19,2026-05-12,"[""radar""]",
comp_00ae7721d42e,marketplace,sold,Sea Ray,SLX 260,2001,17.97,outboard,1510,Gulf Coast,fair,8354.05,7383.04,43,2025-06-20,"[""radar""]",
comp_380bfa2c9cd8,brokerage,sold,Harris,Cruiser 210,2013,22.72,outboard,628,Gulf Coast,excellent,16271.14,15167.81,60,2025-11-11,[],
comp_fce3a5505f60,marketplace,listing,Carver,C40 Command Bridge,2023,37.45,sterndrive,98,Inland Lakes,fair,121188.84,,50,2023-12-13,"[""radar"", ""trailer"", ""joystick""]",
comp_05d7f00b58a3,marketplace,listing,Bennington,22 SSB,2019,22.0,outboard,740,Pacific Coast,very_good,20422.18,,51,2025-06-15,[],
comp_1a9b1ff42456,marketplace,sold,Yamaha WaveRunner,VX Cruiser,2011,11.11,jet,640,Gulf Coast,fair,2754.67,2398.83,107,2025-09-22,"[""radar"", ""trailer"", ""autopilot""]",
comp_d1c3d32e91e5,marketplace,sold,Boston Whaler,280 Vantage,2006,24.03,outboard,1123,Pacific Coast,good,17526.67,15384.82,74,2025-12-19,[],
comp_89585240653f,marketplace,sold,Harris,Solstice 230,2012,21.27,outboard,447,Great Lakes,poor,6908.51,5850.09,37,2026-08-04,"[""joystick""]",
comp_7f5c3c5f0977,marketplace,listing,Hunter,31,2015,24.67,inboard,276,Gulf Coast,good,51838.7,,141,2025-09-02,[],
