part_component_id,record_type,part_number,manufacturer,part_name,subsystem,category,new_price_estimate,interchange_group_id,vessel_id,serial_number,installed_at,removed_at,component_hours,condition_grade,notes
pcat_86bcb658642e,part_catalog,HULL_GELCOAT_KIT,MarineCo,Gelcoat Repair Kit,HULL,gelcoat,120,GC_REPAIR,,,,,,unknown,catalog part
pcat_150438b0c974,part_catalog,HULL_CORE_PANEL,MarineCo,Composite Core Panel,HULL,core_panel,450,CORE_PANEL,,,,,,unknown,catalog part
pcat_def4e2f15200,part_catalog,HULL_STRINGER_SET,MarineCo,Stringer Set,HULL,stringer,2800,STRINGER_SET,,,,,,unknown,catalog part
pcat_96e95b2e504b,part_catalog,HULL_TRANSOM_KIT,MarineCo,Transom Rebuild Kit,HULL,transom,3200,TRANSOM_KIT,,,,,,unknown,catalog part
pcat_8f8d2b102b3d,part_catalog,THRUHULL_1IN_BRONZE,Groco,1in Bronze Through-Hull,HULL,through_hull,145,THRUHULL_1IN,,,,,,unknown,catalog part
pcat_e405e0627492,part_catalog,SEACOCK_1IN_BRONZE,Groco,1in Bronze Seacock,HULL,seacock,210,SEACOCK_1IN,,,,,,unknown,catalog part
pcat_5da7a889fe8e,part_catalog,OB_WATER_PUMP_KIT,OEM,Outboard Water Pump Kit,ENGINE,pump,180,OB_WPUMP,,,,,,unknown,catalog part
pcat_d2ee6fc1d885,part_catalog,OB_GEARCASE_SEAL_KIT,OEM,Outboard Gearcase Seal Kit,PROPULSION,seal_kit,95,OB_GEAR_SEAL,,,,,,unknown,catalog part
pcat_b7eb8e57269e,part_catalog,OB_LOWER_UNIT,OEM,Outboard Lower Unit Assy,PROPULSION,lower_unit,4800,OB_LOWER_UNIT,,,,,,unknown,catalog part
pcat_7655839a306d,part_catalog,OB_PROP_14IN,Solas,Outboard Prop 14in,PROPULSION,propeller,420,PROP_14,,,,,,unknown,catalog part
pcat_14dac6d3d142,part_catalog,INB_CUTLASS_BRG,Duramax,Cutlass Bearing,PROPULSION,bearing,135,CUTLASS,,,,,,unknown,catalog part
pcat_28881329c34a,part_catalog,SHAFT_SEAL_1_25,PYI,Shaft Seal 1.25in,PROPULSION,seal,420,SHAFT_SEAL,,,,,,unknown,catalog part
pcat_0469bfc567a7,part_catalog,SHAFT_1_25_SS,Aquamet,1.25in SS Prop Shaft,PROPULSION,shaft,1650,SHAFT_125,,,,,,unknown,catalog part
pcat_257e94d13fa2,part_catalog,GIMBAL_BEARING,Mercury,Gimbal Bearing,PROPULSION,bearing,185,GIMBAL_BRG,,,,,,unknown,catalog part
pcat_a0e1712691c9,part_catalog,BELLOWS_EXHAUST,Mercury,Exhaust Bellows,PROPULSION,bellows,95,BELLOWS_EXH,,,,,,unknown,catalog part
pcat_fd803d084a61,part_catalog,BELLOWS_UJOINT,Mercury,U-Joint Bellows,PROPULSION,bellows,110,BELLOWS_UJ,,,,,,unknown,catalog part
pcat_898ee4c66e6e,part_catalog,UJOINT_SET,Mercury,U-Joint Set,PROPULSION,u_joint,210,UJOINT_SET,,,,,,unknown,catalog part
pcat_49710139b4c6,part_catalog,JET_WEAR_RING,Yamaha,Jet Wear Ring,PROPULSION,wear_ring,160,JET_WEAR,,,,,,unknown,catalog part
pcat_13338708975e,part_catalog,JET_IMPELLER,Solas,Jet Impeller,PROPULSION,impeller,490,JET_IMP,,,,,,unknown,catalog part
pcat_506028c8ce0f,part_catalog,ENG_LONG_BLOCK_4CYL,OEM,4-Cyl Marine Long Block,ENGINE,long_block,9200,LB4,,,,,,unknown,catalog part
pcat_59385f8a78d5,part_catalog,ENG_LONG_BLOCK_V8,OEM,V8 Marine Long Block,ENGINE,long_block,15800,LBV8,,,,,,unknown,catalog part
pcat_308b9c4c9047,part_catalog,HEAD_GASKET_SET_4CYL,Fel-Pro,4-Cyl Head Gasket Set,ENGINE,gasket,210,HG4,,,,,,unknown,catalog part
pcat_2fa7abf64cce,part_catalog,HEAD_GASKET_SET_V8,Fel-Pro,V8 Head Gasket Set,ENGINE,gasket,340,HGV8,,,,,,unknown,catalog part
pcat_6ec05cb187e7,part_catalog,THERMOSTAT_MARINE,Sierra,Marine Thermostat,ENGINE,thermostat,48,THERMO,,,,,,unknown,catalog part
pcat_d93a0a9a2d3f,part_catalog,HEAT_EXCHANGER_MID,Sierra,Mid-size Heat Exchanger,ENGINE,heat_exchanger,1100,HX_MID,,,,,,unknown,catalog part
pcat_582a14d67a7a,part_catalog,EXHAUST_RISER_V8,Barr,V8 Exhaust Riser,ENGINE,exhaust_riser,650,RISER_V8,,,,,,unknown,catalog part
pcat_f8ffbc514d3d,part_catalog,EXHAUST_MANIFOLD_V8,Barr,V8 Exhaust Manifold,ENGINE,exhaust_manifold,780,MAN_V8,,,,,,unknown,catalog part
pcat_d23e65af59c0,part_catalog,OIL_COOLER_SMALL,Sierra,Small Oil Cooler,ENGINE,oil_cooler,360,OIL_COOL,,,,,,unknown,catalog part
pcat_3578243023ff,part_catalog,CRANK_POS_SENSOR,OEM,Crank Position Sensor,ENGINE,sensor,95,CRANK_SENSOR,,,,,,unknown,catalog part
pcat_c939e78968dd,part_catalog,FUEL_LINE_A1_10FT,Trident,A1 Fuel Hose 10ft,FUEL,hose,120,FUEL_HOSE_A1,,,,,,unknown,catalog part
pcat_554eb41b03a8,part_catalog,FUEL_FILTER_SEPARATOR,Racor,Fuel/Water Separator,FUEL,filter,85,FUEL_SEP,,,,,,unknown,catalog part
pcat_3c2a1191d38b,part_catalog,FUEL_PUMP_LP,OEM,Low Pressure Fuel Pump,FUEL,pump,260,FUEL_PUMP_LP,,,,,,unknown,catalog part
pcat_97d09be5490a,part_catalog,FUEL_PUMP_HP,OEM,High Pressure Fuel Pump,FUEL,pump,460,FUEL_PUMP_HP,,,,,,unknown,catalog part
pcat_947dd7aaf9a9,part_catalog,INJECTOR_SET_V6,OEM,Injector Set V6,FUEL,injector,840,INJ_V6,,,,,,unknown,catalog part
pcat_31d33d928310,part_catalog,CARB_REBUILD_KIT,Sierra,Carb Rebuild Kit,FUEL,carb_kit,120,CARB_KIT,,,,,,unknown,catalog part
pcat_4f821da1403a,part_catalog,BATTERY_AGM_100AH,Interstate,AGM 100Ah Battery,ELECTRICAL,battery,340,BATT_100,,,,,,unknown,catalog part
pcat_0d9bc60ba631,part_catalog,BATTERY_LITHIUM_100AH,Relion,Lithium 100Ah Battery,ELECTRICAL,battery,980,LITH_100,,,,,,unknown,catalog part
pcat_ae42ee6a7d3f,part_catalog,ALTERNATOR_70A,Sierra,70A Alternator,ELECTRICAL,alternator,285,ALT_70,,,,,,unknown,catalog part
pcat_92549d89588a,part_catalog,CHARGER_20A,ProMariner,20A Charger,ELECTRICAL,charger,330,CHARGER_20,,,,,,unknown,catalog part
pcat_e2c0cf11c618,part_catalog,BUS_BAR_12V,Blue Sea,12V Bus Bar,ELECTRICAL,bus_bar,55,BUSBAR_12,,,,,,unknown,catalog part
pcat_8b1902dd7de5,part_catalog,BREAKER_PANEL_DC6,Blue Sea,6-Circuit DC Panel,ELECTRICAL,panel,180,PANEL_DC6,,,,,,unknown,catalog part
pcat_1480c7b2ccf3,part_catalog,WIRING_HARNESS_MAIN,OEM,Main Wiring Harness,ELECTRICAL,wiring,950,HARNESS_MAIN,,,,,,unknown,catalog part
pcat_3adf62184b90,part_catalog,N2K_STARTER_KIT,Garmin,NMEA2000 Starter Kit,NAV,network,135,N2K_START,,,,,,unknown,catalog part
pcat_4d02c8c06be7,part_catalog,MFD_9IN,Garmin,9in MFD,NAV,display,950,MFD_9,,,,,,unknown,catalog part
pcat_650e449e2041,part_catalog,RADAR_DOME_18,Garmin,18in Radar Dome,NAV,radar,1650,RADAR_18,,,,,,unknown,catalog part
pcat_bab1c0d52448,part_catalog,VHF_DSC_RADIO,ICOM,VHF DSC Radio,NAV,radio,240,VHF_DSC,,,,,,unknown,catalog part
pcat_215f60f9999f,part_catalog,DEPTH_XDUCER,Airmar,Depth Transducer,NAV,sensor,190,XDUCER_DEPTH,,,,,,unknown,catalog part
pcat_42151bd349b4,part_catalog,AUTOPILOT_PUMP,Garmin,Autopilot Pump,NAV,autopilot,890,AP_PUMP,,,,,,unknown,catalog part
pcat_a1fdda1d3fb0,part_catalog,STEERING_CABLE_16FT,SeaStar,16ft Steering Cable,STEERING,cable,240,STEER_CABLE_16,,,,,,unknown,catalog part
pcat_25b077f4a8d2,part_catalog,HYD_STEERING_HOSE_20FT,SeaStar,Hydraulic Steering Hose 20ft,STEERING,hose,180,STEER_HOSE_20,,,,,,unknown,catalog part
pcat_3fa2dfc6fbbf,part_catalog,HYD_STEERING_CYL,SeaStar,Hydraulic Steering Cylinder,STEERING,cylinder,620,STEER_CYL,,,,,,unknown,catalog part
pcat_38902c32854f,part_catalog,HELM_PUMP_HYD,SeaStar,Hydraulic Helm Pump,STEERING,helm,510,HELM_HYD,,,,,,unknown,catalog part
pcat_e143529ea41a,part_catalog,BILGE_PUMP_2000,Rule,2000 GPH Bilge Pump,AUX,pump,145,BILGE_2000,,,,,,unknown,catalog part
pcat_94828a2fd77d,part_catalog,BILGE_FLOAT_SWITCH,Rule,Bilge Float Switch,AUX,switch,55,BILGE_FLOAT,,,,,,unknown,catalog part
pcat_b05124ae5819,part_catalog,WATER_PUMP_5GPM,Shurflo,5 GPM Water Pump,AUX,pump,145,FW_PUMP_5,,,,,,unknown,catalog part
pcat_f7b542df1bf5,part_catalog,SANITATION_HOSE_10FT,Trident,Sanitation Hose 10ft,AUX,hose,135,SAN_HOSE,,,,,,unknown,catalog part
pcat_ffc42415df8e,part_catalog,MACERATOR_PUMP,Jabsco,Macerator Pump,AUX,pump,290,MACERATOR,,,,,,unknown,catalog part
pcat_292a59574844,part_catalog,AC_RAW_WATER_PUMP,March,AC Raw Water Pump,AUX,pump,390,AC_WPUMP,,,,,,unknown,catalog part
pcat_21ceb656db7a,part_catalog,TRIM_TAB_ACTUATOR,Lenco,Trim Tab Actuator,AUX,actuator,210,TRIM_ACT,,,,,,unknown,catalog part
pcat_fd9b4d43798a,part_catalog,WINDOW_HATCH_20IN,Lewmar,20in Hatch,HULL,hatch,520,HATCH_20,,,,,,unknown,catalog part
pcat_f9b992cf8b68,part_catalog,STAINLESS_CLEAT_8IN,Attwood,8in SS Cleat,HULL,hardware,48,CLEAT_8,,,,,,unknown,catalog part
pinst_617c9e9a1ab8,installed_component,THRUHULL_1IN_BRONZE,Groco,1in Bronze Through-Hull,HULL,through_hull,145,THRUHULL_1IN,ves_7273c7a853d8,DOSJ139RVZ,1991-12-28,,,C,
