salvage_candidate_id,vessel_id,part_component_id,detected_after_event,event_type,preliminary_salvage_score,exclusion_reason,expected_used_price,expected_sell_prob,created_at,salvageable_label
sc_da65276730a8,ves_002a2a74cdc7,pinst_d8a168fe7f30,failure,rot,0.568,,36.44,0.461,2026-03-12T00:00:00,1
sc_3d0aa22b97a6,ves_002a2a74cdc7,pinst_c1f8d4c8d52e,failure,rot,0.646,,76.56,0.616,2026-02-07T00:00:00,1
sc_479336f45040,ves_002a2a74cdc7,pinst_7f3fc1a267e1,failure,rot,0.385,,34.29,0.386,2026-03-08T00:00:00,0
sc_24f963da523b,ves_002a2a74cdc7,pinst_fce86a47e4ad,failure,rot,0.724,,87.22,0.514,2026-03-07T00:00:00,1
sc_661b0017d01a,ves_002a2a74cdc7,pinst_a4b9b9d476ce,failure,rot,0.631,,39.66,0.454,2026-01-02T00:00:00,1
sc_16d205295c1d,ves_002a2a74cdc7,pinst_e8eb43a681a6,failure,rot,0.568,,13.82,0.45,2026-01-07T00:00:00,1
sc_0b35aea3b0dd,ves_002a2a74cdc7,pinst_161f75056dee,failure,rot,0.638,,141.16,0.37,2026-01-18T00:00:00,1
sc_384e7bf7c160,ves_002a2a74cdc7,pinst_866db44c50fe,failure,rot,0.394,,24.61,0.1,2026-03-22T00:00:00,0
sc_014a43598c6b,ves_002a2a74cdc7,pinst_90caa4d2baac,failure,rot,0.295,,138.19,0.1,2026-02-16T00:00:00,0
sc_a63c7caad0a7,ves_002a2a74cdc7,pinst_55bc9b7d6bec,failure,rot,0.01,failure_localization_penalty,15.24,0.1,2026-02-23T00:00:00,0
sc_6992c9e1ffcc,ves_002a2a74cdc7,pinst_37e33746c532,failure,rot,0.024,failure_localization_penalty,20.17,0.363,2026-01-04T00:00:00,0
sc_c5d1abb29451,ves_002a2a74cdc7,pinst_944006b3ca48,failure,rot,0.01,poor_condition,23.91,0.358,2026-01-28T00:00:00,0
