service_event_id,vessel_id,service_date,service_type,subsystem,engine_hours,cost,performed_by,documentation_quality,created_at
svc_60a3aff54f71,ves_7273c7a853d8,2018-06-27,bottom_paint,HULL,35,821.1,yard,3,2018-06-27T00:00:00
svc_97ffa8956b7b,ves_7273c7a853d8,2003-12-04,spring_commission,AUX,223,1043.19,dealer,2,2003-12-04T00:00:00
svc_f7744f887923,ves_7273c7a853d8,2015-11-26,oil_change,ENGINE,176,537.94,yard,2,2015-11-26T00:00:00
svc_18decac3d5b9,ves_7273c7a853d8,2023-02-15,oil_change,ENGINE,251,345.16,owner,2,2023-02-15T00:00:00
svc_3b41bd1981e2,ves_7273c7a853d8,2021-06-22,winterize,AUX,280,1393.03,yard,1,2021-06-22T00:00:00
svc_52cbe2df59ab,ves_7273c7a853d8,2001-08-25,spring_commission,AUX,184,209.17,dealer,1,2001-08-25T00:00:00
svc_f4977a54e02b,ves_4aaa1c2323b1,2013-04-24,winterize,AUX,191,694.67,yard,2,2013-04-24T00:00:00
svc_c0c904212ffe,ves_4aaa1c2323b1,2020-04-04,battery_replace,ELECTRICAL,286,631.51,owner,1,2020-04-04T00:00:00
svc_79844c88f523,ves_4aaa1c2323b1,2016-11-25,oil_change,ENGINE,448,515.45,unknown,3,2016-11-25T00:00:00
svc_f2202db7ecd7,ves_4aaa1c2323b1,2012-05-27,bottom_paint,HULL,240,1078.6,yard,3,2012-05-27T00:00:00
svc_c8b876d838dd,ves_4aaa1c2323b1,2022-03-06,spring_commission,AUX,378,877.35,yard,0,2022-03-06T00:00:00
svc_221bf698af80,ves_4aaa1c2323b1,2024-10-28,bottom_paint,HULL,87,1099.24,yard,2,2024-10-28T00:00:00
svc_de6c5620b302,ves_4aaa1c2323b1,2012-02-20,inspection,HULL,233,426.35,yard,3,2012-02-20T00:00:00
svc_a2fa06f67353,ves_6b5563e8c2f4,2026-07-08,oil_change,ENGINE,926,489.0,unknown,3,2026-07-08T00:00:00
svc_a231e481e461,ves_6b5563e8c2f4,2022-06-16,winterize,AUX,721,1402.29,yard,2,2022-06-16T00:00:00
svc_7de0ac003845,ves_6b5563e8c2f4,2024-10-21,battery_replace,ELECTRICAL,615,372.97,yard,3,2024-10-21T00:00:00
svc_08795c327d3a,ves_6b5563e8c2f4,2004-12-18,inspection,HULL,764,737.91,yard,2,2004-12-18T00:00:00
svc_8b312455fcf0,ves_e85c97dcf495,2026-06-27,oil_change,ENGINE,127,569.03,yard,1,2026-06-27T00:00:00
svc_0bf6e5d0a272,ves_e85c97dcf495,2017-07-11,impeller_change,ENGINE,429,325.78,dealer,0,2017-07-11T00:00:00
svc_f29f5b7aefdc,ves_e85c97dcf495,2017-04-11,battery_replace,ELECTRICAL,496,317.57,dealer,3,2017-04-11T00:00:00
svc_ef82c84ea86c,ves_e85c97dcf495,2015-02-03,impeller_change,ENGINE,307,502.93,dealer,2,2015-02-03T00:00:00
