work_order_id,vessel_id,opened_at,closed_at,odometer_engine_hours,primary_subsystem,symptom_codes,diagnosis_codes,repair_codes,severity,labour_hours,labour_rate,parts_cost,total_cost,warranty_claim,downtime_days,outcome_status,root_cause_flag,created_at,repair_decision_label,post_repair_estimated_value
wo_1428899a3329,ves_7273c7a853d8,2021-10-16T08:00:00,2021-11-04T08:00:00,163,HULL,"[""water intrusion around transom""]","[""HULL_OSMOSIS_BLISTERING""]","[""REPAIR_OSMOSIS""]",3,65.59,165.15,110.96,11742.59,False,19,deferred,True,2021-10-16T08:00:00,repair,4492.33
wo_1d559cd0cd20,ves_7273c7a853d8,2022-05-19T10:00:00,2022-05-23T10:00:00,127,FUEL,"[""won\u2019t stay primed""]","[""FUEL_FILTER_CLOG""]","[""REPLACE_FILTER_SEPARATOR""]",3,1.06,144.02,89.99,242.2,True,4,fixed,True,2022-05-19T10:00:00,repair,4492.33
wo_07ae1a486c3e,ves_7273c7a853d8,2015-06-02T12:00:00,2015-06-08T12:00:00,125,FUEL,"[""water in separator""]","[""FUEL_LINE_CRACK""]","[""REPLACE_FUEL_LINES""]",3,4.67,167.32,123.26,905.4,False,6,fixed,True,2015-06-02T12:00:00,repair,4492.33
wo_44989d7621a7,ves_7273c7a853d8,2023-02-12T10:00:00,2023-02-14T10:00:00,198,AUX,"[""AC raw-water flow low""]","[""BILGE_PUMP_FAIL""]","[""REPLACE_BILGE_PUMP""]",3,1.01,128.83,55.38,185.53,False,2,deferred,True,2023-02-12T10:00:00,repair,4492.33
wo_7ae05b7590df,ves_4aaa1c2323b1,2014-06-04T16:00:00,2014-06-09T16:00:00,336,ELECTRICAL,"[""intermittent helm power""]","[""ELEC_BATT_FAILURE""]","[""REPLACE_BATTERIES""]",3,2.36,181.01,347.01,775.04,False,5,fixed,True,2014-06-04T16:00:00,repair,22052.2
wo_f92263725f55,ves_4aaa1c2323b1,2019-07-12T08:00:00,2019-07-17T08:00:00,164,FUEL,"[""water in separator""]","[""FUEL_INJECTOR_CLOG""]","[""CLEAN_INJECTORS""]",3,3.24,147.51,906.34,1384.43,False,5,partial,True,2019-07-12T08:00:00,repair,22052.2
wo_9817a328fba0,ves_4aaa1c2323b1,2020-04-02T15:00:00,2020-04-18T15:00:00,338,PROPULSION,"[""drive oil milky""]","[""OB_LOWER_UNIT_WATER_INTRUSION""]","[""RESEAL_LOWER_UNIT"", ""REPLACE_GEAR_OIL""]",3,10.74,196.48,93.65,2204.62,False,16,partial,True,2020-04-02T15:00:00,repair,22052.2
wo_fe3ac4eb14ba,ves_4aaa1c2323b1,2020-02-01T10:00:00,2020-02-23T10:00:00,269,HULL,"[""water intrusion around transom""]","[""HULL_DECK_CORE_ROT""]","[""REPAIR_DECK_CORE""]",3,32.65,175.7,114.22,6723.75,False,22,fixed,True,2020-02-01T10:00:00,repair,22052.2
wo_a9ba789e19bb,ves_4aaa1c2323b1,2025-04-16T10:00:00,2025-04-17T10:00:00,219,FUEL,"[""water in separator""]","[""FUEL_FILTER_CLOG""]","[""REPLACE_FILTER_SEPARATOR""]",3,1.15,122.68,83.69,225.32,False,1,fixed,True,2025-04-16T10:00:00,repair,22052.2
wo_df60ea436a40,ves_4aaa1c2323b1,2022-10-03T11:00:00,2022-10-14T11:00:00,400,FUEL,"[""poor idle""]","[""FUEL_INJECTOR_CLOG""]","[""CLEAN_INJECTORS""]",3,3.8,135.08,805.77,1318.66,False,11,fixed,True,2022-10-03T11:00:00,repair,22052.2
wo_f1364fa36de9,ves_6b5563e8c2f4,2023-12-17T08:00:00,2023-12-24T08:00:00,339,ELECTRICAL,"[""house bank not charging""]","[""ELEC_ALT_FAIL""]","[""REPLACE_ALTERNATOR""]",3,3.26,193.97,275.49,907.32,False,7,deferred,True,2023-12-17T08:00:00,repair,49927.38
wo_5e14320c65e6,ves_6b5563e8c2f4,2017-04-15T10:00:00,2017-04-24T10:00:00,449,STEERING,"[""cable binds at lock""]","[""STEER_CABLE_BIND""]","[""REPLACE_STEERING_CABLE""]",3,8.16,194.29,257.45,1842.09,False,9,partial,True,2017-04-15T10:00:00,repair,49927.38
wo_adf62a72cce8,ves_6b5563e8c2f4,2017-05-16T14:00:00,2017-05-22T14:00:00,948,ELECTRICAL,"[""bilge alarm false trigger""]","[""ELEC_STRAY_CURRENT""]","[""ELECTRICAL_FAULT_FIND""]",3,11.94,184.61,0.0,2204.14,False,6,fixed,True,2017-05-16T14:00:00,repair,49927.38
wo_69834611ea58,ves_6b5563e8c2f4,2023-12-17T14:00:00,2023-12-21T14:00:00,150,PROPULSION,"[""bellows leak observed""]","[""PROP_CUTLASS_WEAR""]","[""REPLACE_CUTLASS_BRG""]",3,8.47,129.61,126.43,1223.96,False,4,fixed,True,2023-12-17T14:00:00,repair,49927.38
wo_4ca27bc711fe,ves_6b5563e8c2f4,2021-12-03T16:00:00,2021-12-11T16:00:00,497,FUEL,"[""fuel smell in bilge""]","[""FUEL_LINE_CRACK""]","[""REPLACE_FUEL_LINES""]",3,4.25,169.67,249.68,971.59,False,8,fixed,True,2021-12-03T16:00:00,repair,49927.38
wo_e88eb2124be2,ves_6b5563e8c2f4,2024-12-03T11:00:00,2024-12-09T11:00:00,930,PROPULSION,"[""vibration underway""]","[""JET_WEAR_RING_CLEARANCE""]","[""REPLACE_WEAR_RING""]",3,4.63,174.07,168.83,974.4,False,6,fixed,True,2024-12-03T11:00:00,repair,49927.38
wo_0a2fcdc56232,ves_6b5563e8c2f4,2023-07-21T14:00:00,2023-07-22T14:00:00,716,ELECTRICAL,"[""intermittent helm power""]","[""ELEC_CORROSION_TERMINAL""]","[""CLEAN_RETERM_CONNECTORS""]",3,3.39,129.15,0.0,437.71,False,1,fixed,True,2023-07-21T14:00:00,repair,49927.38
wo_de0a49510126,ves_6b5563e8c2f4,2016-08-02T10:00:00,2016-08-12T10:00:00,813,AUX,"[""bilge pump inop""]","[""SAN_CLOG""]","[""CLEAR_SANITATION_CLOG""]",3,3.22,168.88,0.0,544.63,False,10,fixed,True,2016-08-02T10:00:00,repair,49927.38
wo_05d9877aeb49,ves_6b5563e8c2f4,2016-01-17T09:00:00,2016-01-22T09:00:00,709,AUX,"[""freshwater pump cycles""]","[""SAN_HOSE_PERMEATION""]","[""REPLACE_SAN_HOSE""]",3,3.76,145.57,139.89,687.68,False,5,fixed,True,2016-01-17T09:00:00,repair,49927.38
wo_fe8e4896c25b,ves_e85c97dcf495,2024-07-18T08:00:00,2024-07-25T08:00:00,275,STEERING,"[""steering stiff to port""]","[""STEER_CABLE_BIND""]","[""REPLACE_STEERING_CABLE""]",3,6.18,188.82,235.34,1403.0,False,7,fixed,True,2024-07-18T08:00:00,repair,45779.42
